	x
1	#FFFFFF
2	#FDFDFD
3	#FCFCFC
4	#FAFAFA
5	#F9F9F9
6	#F8F8F8
7	#F6F6F6
8	#F5F5F5
9	#F3F3F3
10	#F2F2F2
11	#F1F1F1
12	#EFEFEF
13	#EEEEEE
14	#EDEDED
15	#EBEBEB
16	#EAEAEA
17	#E9E9E9
18	#E7E7E7
19	#E6E6E6
20	#E4E4E4
21	#E3E3E3
22	#E2E2E2
23	#E0E0E0
24	#DFDFDF
25	#DEDEDE
26	#DCDCDC
27	#DBDBDB
28	#D9D9D9
29	#D8D8D8
30	#D7D7D7
31	#D5D5D5
32	#D4D4D4
33	#D3D3D3
34	#D1D1D1
35	#D0D0D0
36	#CFCFCF
37	#CDCDCD
38	#CCCCCC
39	#CBCBCB
40	#C9C9C9
41	#C8C8C8
42	#C7C7C7
43	#C5C5C5
44	#C4C4C4
45	#C3C3C3
46	#C1C1C1
47	#C0C0C0
48	#BFBFBF
49	#BEBEBE
50	#BCBCBC
51	#BBBBBB
52	#BABABA
53	#B8B8B8
54	#B7B7B7
55	#B6B6B6
56	#B4B4B4
57	#B3B3B3
58	#B2B2B2
59	#B0B0B0
60	#AFAFAF
61	#AEAEAE
62	#ACACAC
63	#ABABAB
64	#AAAAAA
65	#A9A9A9
66	#ABAAA8
67	#AEABA8
68	#B1ACA7
69	#B3AEA7
70	#B6AFA6
71	#B9B0A6
72	#BBB2A5
73	#BEB3A5
74	#C1B4A5
75	#C3B6A4
76	#C6B7A4
77	#C9B8A3
78	#CBBAA3
79	#CEBBA2
80	#D1BCA2
81	#D4BEA2
82	#D6BFA1
83	#D9C0A1
84	#DCC1A0
85	#DEC3A0
86	#E1C49F
87	#E4C59F
88	#E6C79E
89	#E9C89E
90	#ECC99E
91	#EECB9D
92	#F1CC9D
93	#F4CD9C
94	#F6CF9C
95	#F9D09B
96	#FCD19B
97	#FFD39B
98	#FBCE96
99	#F7CA92
100	#F4C58E
101	#F0C18A
102	#ECBC85
103	#E9B881
104	#E5B37D
105	#E2AF78
106	#DEAB74
107	#DAA670
108	#D7A26C
109	#D39D67
110	#CF9963
111	#CC945F
112	#C8905B
113	#C58C57
114	#C18752
115	#BD834E
116	#BA7E4A
117	#B67A46
118	#B27541
119	#AF713D
120	#AB6C39
121	#A86835
122	#A46430
123	#A05F2C
124	#9D5B28
125	#995624
126	#95521F
127	#924D1B
128	#8E4917
129	#8B4513
130	#8E4712
131	#924A11
132	#954E11
133	#995110
134	#9D5310
135	#A0560F
136	#A45A0E
137	#A85D0E
138	#AB5F0D
139	#AF620D
140	#B2650C
141	#B6690B
142	#BA6B0B
143	#BD6E0A
144	#C1710A
145	#C47509
146	#C87808
147	#CC7A08
148	#CF7D07
149	#D38007
150	#D78306
151	#DA8605
152	#DE8A05
153	#E28D04
154	#E59004
155	#E99303
156	#EC9502
157	#F09802
158	#F49B01
159	#F79E01
160	#FBA100
161	#FFA500
162	#FF9F00
163	#FF9A00
164	#FF9500
165	#FF9000
166	#FF8B00
167	#FF8600
168	#FF8000
169	#FF7B00
170	#FF7600
171	#FF7100
172	#FF6C00
173	#FF6700
174	#FF6100
175	#FF5C00
176	#FF5700
177	#FF5200
178	#FF4D00
179	#FF4800
180	#FF4300
181	#FF3D00
182	#FF3800
183	#FF3300
184	#FF2E00
185	#FF2900
186	#FF2400
187	#FF1E00
188	#FF1900
189	#FF1400
190	#FF0F00
191	#FF0A00
192	#FF0500
193	#FF0000
194	#FC0007
195	#F9010E
196	#F60216
197	#F3031D
198	#F00525
199	#ED062D
200	#EA0734
201	#E7083C
202	#E40943
203	#E10A4B
204	#DE0A52
205	#DB0B59
206	#D80C61
207	#D50E69
208	#D20F70
209	#CF1078
210	#CC117F
211	#C91287
212	#C6138E
213	#C31496
214	#C0159D
215	#BD15A4
216	#BA17AC
217	#B718B4
218	#B419BB
219	#B11AC3
220	#AE1BCA
221	#AB1CD2
222	#A81DD9
223	#A51EE1
224	#A21FE8
225	#A020F0
226	#9A1EF0
227	#951DF0
228	#901CF1
229	#8B1BF1
230	#861AF2
231	#8119F2
232	#7C18F3
233	#7818F3
234	#7317F4
235	#6D15F4
236	#6814F5
237	#6313F5
238	#5E12F6
239	#5911F6
240	#5410F7
241	#5010F7
242	#4B0FF7
243	#460EF8
244	#400CF8
245	#3B0BF9
246	#360AF9
247	#3109FA
248	#2C08FA
249	#2808FB
250	#2307FB
251	#1E06FC
252	#1905FC
253	#1303FD
254	#0E02FD
255	#0901FE
256	#0400FE
257	#0000FF
258	#0007FF
259	#000FFF
260	#0017FF
261	#001FFF
262	#0027FF
263	#002FFF
264	#0037FF
265	#003FFF
266	#0047FF
267	#004FFF
268	#0057FF
269	#005FFF
270	#0067FF
271	#006FFF
272	#0077FF
273	#007FFF
274	#0087FF
275	#008FFF
276	#0097FF
277	#009FFF
278	#00A7FF
279	#00AFFF
280	#00B7FF
281	#00BFFF
282	#00C7FF
283	#00CFFF
284	#00D7FF
285	#00DFFF
286	#00E7FF
287	#00EFFF
288	#00F7FF
289	#00FFFF
