	x	y
1	585	910
2	562	980
3	509	1023
4	494	1103
5	643	1231
6	688	1098
7	620	1153
8	527	1243
9	542	1118
10	612	1134
11	594	1086
12	486	1129
13	554	1042
14	607	1046
15	520	1177
16	653	1116
17	685	1201
18	409	1134
19	443	1157
20	567	1210
21	567	1129
22	581	1251
23	520	1229
24	632	1085
25	655	1065
26	607	1212
27	722	1120
28	618	1186
29	569	1171
30	552	1088
31	427	1204
32	596	1180
33	510	1069
34	717	1190
35	688	1233
36	678	1141
37	492	1183
38	627	1243
39	494	1157
40	724	1145
41	378	1212
42	656	1007
43	658	1201
44	441	1226
45	716	1077
46	555	1196
47	692	1162
48	592	1124
49	546	860
50	502	889
51	509	922
52	468	949
53	408	959
54	389	919
55	433	940
56	378	967
57	428	971
58	431	864
59	457	848
60	435	888
61	472	867
62	229	367
63	170	321
64	75	434
65	140	435
66	131	375
67	114	363
68	182	415
69	202	417
70	221	381
71	144	302
72	133	338
73	244	342
74	168	260
75	149	395
76	95	389
77	202	368
78	78	472
79	108	544
80	221	465
81	70	602
82	39	443
83	178	501
84	76	530
85	127	495
86	168	478
87	134	484
88	107	436
89	263	456
90	27	487
91	49	548
92	30	510
93	140	705
94	413	773
95	131	629
96	150	653
97	213	644
98	254	609
99	200	563
100	144	603
101	303	537
102	254	594
103	307	596
104	235	575
105	347	111
106	515	27
107	395	99
108	450	82
109	499	78
110	396	211
111	453	153
112	419	93
113	503	129
114	521	78
115	865	747
116	1017	826
117	933	752
118	916	803
119	1048	837
120	984	926
121	888	933
122	839	846
123	979	809
124	875	827
125	935	875
126	849	882
127	916	928
128	986	952
129	957	932
130	959	833
131	1006	887
132	847	959
133	897	890
134	929	842
135	889	766
136	890	846
137	964	766
138	827	914
139	978	873
140	990	747
141	1010	845
142	1023	786
143	919	964
144	1049	880
145	846	810
146	547	377
147	569	345
148	602	370
149	640	354
150	646	314
151	528	281
152	561	271
153	538	254
154	557	308
155	496	303
156	551	329
157	499	262
158	497	368
159	453	319
160	627	234
161	625	188
162	639	184
163	626	322
164	656	226
165	677	199
166	703	214
167	694	271
168	587	198
169	580	236
170	613	276
171	632	272
172	693	172
173	611	213
174	553	158
175	637	137
176	608	143
177	566	86
178	595	124
179	404	438
180	483	413
181	535	436
182	532	414
183	407	428
184	478	433
185	579	432
186	590	397
187	594	416
188	475	382
189	507	340
190	441	366
191	370	393
192	381	331
193	397	369
194	338	303
195	693	610
196	620	515
197	658	559
198	654	662
199	581	579
200	653	575
201	547	574
202	559	706
203	451	655
204	475	632
205	362	474
206	486	631
207	589	638
208	559	654
209	679	520
210	714	545
211	638	500
212	652	522
213	694	464
214	576	558
215	653	603
216	726	581
217	591	543
218	531	497
219	499	580
220	656	632
221	590	667
222	611	593
223	668	602
224	563	632
225	453	469
226	489	524
227	665	482
228	579	473
229	418	557
230	423	642
231	504	674
232	457	602
233	545	625
234	476	663
235	370	618
236	345	578
237	248	802
238	328	740
239	394	681
240	184	639
241	213	614
242	277	567
243	110	690
244	194	656
245	181	607
246	107	661
247	225	656
248	371	751
249	705	694
250	619	758
251	676	713
252	596	844
253	705	756
254	629	798
255	670	784
256	441	613
257	372	645
258	365	659
259	384	698
260	359	356
261	288	683
262	305	619
263	332	372
264	186	275
265	200	232
266	251	295
267	291	294
268	259	260
269	288	429
270	293	372
271	313	332
272	332	345
273	324	482
274	382	155
275	350	196
276	339	158
277	398	248
278	351	251
279	365	289
280	403	171
281	423	182
282	307	258
283	283	172
284	296	196
285	235	274
286	255	215
287	288	275
288	225	234
289	204	269
