	x	y
1	522	439
2	498	411
3	433	394
4	495	492
5	541	471
6	446	448
7	610	512
8	662	644
9	680	555
10	578	484
11	569	532
12	632	585
13	556	576
14	619	534
15	599	576
16	463	557
17	386	673
18	530	668
19	566	555
20	656	676
21	631	699
22	554	730
23	559	712
24	520	548
25	535	714
26	569	756
27	545	602
28	672	674
29	433	564
30	524	615
31	625	730
32	518	589
33	720	565
34	580	701
35	666	544
36	508	725
37	365	546
38	564	517
39	466	535
40	593	549
41	670	575
42	660	476
43	557	469
44	596	782
45	632	688
46	590	661
47	470	625
48	674	625
49	701	620
50	485	666
51	430	580
52	707	660
53	532	685
54	540	644
55	631	637
56	558	669
57	490	748
58	472	805
59	558	803
60	402	746
61	449	669
62	423	613
63	415	726
64	387	621
65	604	747
66	396	691
67	492	608
68	517	486
69	416	665
70	566	592
71	462	649
72	492	687
73	469	750
74	535	627
75	319	648
76	458	721
77	513	748
78	504	642
79	460	513
80	591	647
81	437	642
82	623	608
83	430	712
84	366	710
85	468	586
86	378	603
87	335	742
88	319	639
89	393	769
90	403	569
91	379	670
92	423	794
93	401	701
94	700	523
95	456	769
96	370	737
97	497	789
98	317	722
99	396	802
100	409	805
101	441	778
102	573	765
103	483	717
104	482	569
105	504	799
106	332	681
107	355	784
108	452	814
109	318	757
110	291	726
111	598	696
112	764	581
113	538	542
114	603	468
115	623	354
116	597	424
117	285	564
118	520	26
119	508	119
120	742	841
121	826	833
122	781	807
123	762	889
124	814	884
125	592	100
126	495	109
127	560	83
128	400	132
129	595	163
130	568	277
131	526	308
132	634	262
133	542	289
134	470	391
135	493	426
136	641	361
137	488	211
138	460	354
139	532	329
140	586	249
141	539	375
142	614	303
143	597	340
144	177	269
145	218	228
146	241	285
147	278	428
148	245	355
149	263	198
150	187	354
151	224	264
152	285	266
153	240	203
154	252	257
155	376	316
156	198	213
157	152	322
158	221	343
159	264	307
160	145	222
161	194	514
162	299	507
163	71	466
164	288	284
165	188	440
166	289	473
167	306	477
168	258	462
169	347	356
170	360	252
171	277	350
172	210	365
173	315	262
174	274	312
175	370	428
176	377	505
177	409	401
178	197	309
179	213	481
180	343	395
181	352	345
182	317	321
183	155	382
184	280	400
185	304	414
186	350	295
187	390	225
188	364	194
189	48	518
190	172	487
191	252	437
192	368	384
193	27	459
194	26	429
195	88	374
196	178	548
197	60	268
198	329	203
199	243	412
200	158	408
201	202	331
202	121	327
203	124	244
204	71	328
205	177	170
206	209	425
207	260	510
208	90	397
209	236	389
210	191	285
211	214	326
212	294	319
213	322	368
214	218	561
215	174	405
216	144	528
217	123	435
218	258	393
219	311	225
220	126	564
221	153	580
222	196	554
223	101	477
224	131	450
225	106	358
226	134	490
227	312	437
228	101	503
229	93	442
230	264	271
231	138	363
232	121	467
233	62	379
234	157	262
235	191	467
236	50	305
237	141	340
238	91	527
239	81	432
240	39	399
