	x
1	orange
2	orange
3	#6A5ACD
4	orange
5	orange
6	#6A5ACD
7	orange
8	orange
9	orange
10	orange
11	orange
12	orange
13	orange
14	orange
15	orange
16	orange
17	orange
18	antiquewhite
19	orange
20	orange
21	orange
22	orange
23	orange
24	orange
25	orange
26	antiquewhite
27	orange
28	orange
29	orange
30	orange
31	orange
32	orange
33	orange
34	antiquewhite
35	orange
36	orange
37	orange
38	orange
39	orange
40	orange
41	orange
42	orange
43	orange
44	orange
45	orange
46	orange
47	orange
48	orange
49	orange
50	orange
51	orange
52	orange
53	orange
54	orange
55	orange
56	orange
57	antiquewhite
58	orange
59	antiquewhite
60	orange
61	orange
62	antiquewhite
63	orange
64	orange
65	antiquewhite
66	orange
67	orange
68	orange
69	orange
70	orange
71	orange
72	antiquewhite
73	orange
74	orange
75	orange
76	orange
77	orange
78	orange
79	orange
80	orange
81	orange
82	orange
83	antiquewhite
84	antiquewhite
85	antiquewhite
86	antiquewhite
87	antiquewhite
88	antiquewhite
89	antiquewhite
90	antiquewhite
91	antiquewhite
92	antiquewhite
93	antiquewhite
94	orange
95	antiquewhite
96	antiquewhite
97	orange
98	antiquewhite
99	antiquewhite
100	antiquewhite
101	antiquewhite
102	antiquewhite
103	antiquewhite
104	orange
105	antiquewhite
106	antiquewhite
107	antiquewhite
108	antiquewhite
109	antiquewhite
110	antiquewhite
111	antiquewhite
112	orange
113	#BA55D3
114	#BA55D3
115	#BA55D3
116	#BA55D3
117	antiquewhite
118	#8B4513
119	#8B4513
120	#BC8F8F
121	#BC8F8F
122	#BC8F8F
123	#BC8F8F
124	#BC8F8F
125	#BA55D3
126	#FFB6C1
127	#BA55D3
128	#FFB6C1
129	#BA55D3
130	white
131	#6A5ACD
132	#BA55D3
133	#BA55D3
134	#BA55D3
135	#BA55D3
136	#BA55D3
137	#FFB6C1
138	#BA55D3
139	#BA55D3
140	#BA55D3
141	#BA55D3
142	#BA55D3
143	#BA55D3
144	#00BFFF
145	#00BFFF
146	#00BFFF
147	#00BFFF
148	#00BFFF
149	#00BFFF
150	#00BFFF
151	#00BFFF
152	#00BFFF
153	#00BFFF
154	#00BFFF
155	#00BFFF
156	#00BFFF
157	#00BFFF
158	#00BFFF
159	#00BFFF
160	#00BFFF
161	blue
162	#00BFFF
163	blue
164	#00BFFF
165	#00BFFF
166	#00BFFF
167	#00BFFF
168	#00BFFF
169	#00BFFF
170	#00BFFF
171	#00BFFF
172	#00BFFF
173	#00BFFF
174	#00BFFF
175	#00BFFF
176	#00BFFF
177	#00BFFF
178	#00BFFF
179	#00BFFF
180	#00BFFF
181	#6A5ACD
182	#00BFFF
183	#00BFFF
184	#00BFFF
185	#00BFFF
186	#00BFFF
187	#FFB6C1
188	#FFB6C1
189	blue
190	blue
191	blue
192	#00BFFF
193	blue
194	blue
195	#00BFFF
196	blue
197	#00BFFF
198	#00BFFF
199	#00BFFF
200	blue
201	#00BFFF
202	#00BFFF
203	#00BFFF
204	#00BFFF
205	#00BFFF
206	#00BFFF
207	#00BFFF
208	blue
209	#00BFFF
210	#00BFFF
211	#00BFFF
212	#00BFFF
213	#00BFFF
214	blue
215	blue
216	blue
217	blue
218	#00BFFF
219	#00BFFF
220	blue
221	blue
222	blue
223	blue
224	blue
225	blue
226	blue
227	#00BFFF
228	blue
229	blue
230	#00BFFF
231	blue
232	blue
233	blue
234	#00BFFF
235	blue
236	#00BFFF
237	blue
238	blue
239	blue
240	#00BFFF
