mc1	mc2
1	1
1	2
1	3
1	7
1	11
1	43
2	1
2	2
2	3
2	5
2	10
2	177
3	1
3	2
3	3
3	6
3	180
3	181
4	4
4	5
4	6
4	40
4	51
5	2
5	4
5	5
5	6
5	15
5	40
6	3
6	4
6	5
6	6
6	79
6	175
7	1
7	7
7	10
7	12
7	46
8	8
8	12
8	18
8	41
8	49
8	52
9	9
9	12
9	38
9	48
9	52
10	2
10	7
10	10
10	13
10	32
10	42
11	1
11	11
11	13
11	27
11	43
11	56
12	7
12	8
12	9
12	12
12	13
12	54
13	10
13	11
13	12
13	13
13	34
13	39
13	56
14	14
14	15
14	16
14	40
14	49
15	5
15	14
15	15
15	48
15	53
15	80
16	14
16	16
16	24
16	37
16	38
16	64
16	69
17	17
17	47
17	51
17	60
17	95
18	8
18	18
18	22
18	62
18	77
18	78
18	81
19	19
19	30
19	61
19	67
19	68
19	94
20	20
20	23
20	33
20	41
20	55
20	65
20	80
21	21
21	22
21	52
21	74
21	80
22	18
22	21
22	22
22	32
22	73
23	20
23	23
23	50
23	53
23	71
23	80
24	16
24	24
24	30
24	51
24	79
24	82
25	25
25	31
25	40
25	47
25	59
25	101
26	26
26	44
26	45
26	54
26	58
26	59
27	11
27	27
27	29
27	30
27	34
27	45
27	47
28	28
28	31
28	35
28	52
28	55
28	56
29	27
29	29
29	47
29	54
29	176
30	19
30	24
30	27
30	30
30	36
30	51
30	55
31	25
31	28
31	31
31	54
31	102
32	10
32	22
32	32
32	39
32	54
32	72
33	20
33	33
33	42
33	94
34	13
34	27
34	34
34	59
34	71
34	102
35	28
35	35
35	38
35	42
35	48
36	30
36	36
36	70
36	97
36	100
37	16
37	37
37	51
37	64
37	167
38	9
38	16
38	35
38	38
38	39
38	41
38	43
39	13
39	32
39	38
39	39
39	43
39	62
39	71
39	176
40	4
40	5
40	14
40	25
40	40
41	8
41	20
41	38
41	41
42	10
42	33
42	35
42	42
42	43
43	1
43	11
43	38
43	39
43	42
43	43
44	26
44	44
44	45
44	76
45	26
45	27
45	44
45	45
45	46
45	48
45	49
46	7
46	45
46	46
46	48
46	50
46	57
46	102
47	17
47	25
47	27
47	29
47	47
47	50
47	70
48	9
48	15
48	35
48	45
48	46
48	48
48	49
49	8
49	14
49	45
49	48
49	49
49	112
50	23
50	46
50	47
50	50
50	51
50	60
50	61
51	4
51	17
51	24
51	30
51	37
51	50
51	51
52	8
52	9
52	21
52	28
52	52
52	82
53	15
53	23
53	53
53	54
53	69
53	72
53	76
54	12
54	26
54	29
54	31
54	32
54	53
54	54
54	103
55	20
55	28
55	30
55	55
55	65
55	70
56	11
56	13
56	28
56	56
56	57
56	72
56	97
57	46
57	56
57	57
57	77
57	92
57	96
58	26
58	58
58	59
58	84
58	93
58	100
59	25
59	26
59	34
59	58
59	59
60	17
60	50
60	60
60	98
60	101
60	103
61	19
61	50
61	61
61	63
61	64
61	67
61	108
62	18
62	39
62	62
62	71
62	104
62	106
63	61
63	63
63	71
63	73
63	84
63	89
64	16
64	37
64	61
64	64
64	66
64	69
64	76
65	20
65	55
65	65
65	77
65	105
65	111
66	64
66	66
66	76
66	78
66	81
66	95
67	19
67	61
67	67
67	74
67	81
67	104
68	19
68	68
68	70
68	104
68	134
69	16
69	53
69	64
69	69
69	83
69	107
70	36
70	47
70	55
70	68
70	70
71	23
71	34
71	39
71	62
71	63
71	71
72	32
72	53
72	56
72	72
72	77
72	93
73	22
73	63
73	73
73	74
73	76
73	89
73	99
74	21
74	67
74	73
74	74
74	79
74	82
74	85
75	75
75	81
75	96
75	98
75	117
76	44
76	53
76	64
76	66
76	73
76	76
77	18
77	57
77	65
77	72
77	77
77	91
78	18
78	66
78	78
78	83
78	113
79	6
79	24
79	74
79	79
80	15
80	20
80	21
80	23
80	80
80	81
80	82
81	18
81	66
81	67
81	75
81	80
81	81
82	24
82	52
82	74
82	80
82	82
83	69
83	78
83	83
83	85
83	92
83	109
84	58
84	63
84	84
84	90
84	91
85	74
85	83
85	85
85	86
85	91
85	114
86	85
86	86
86	88
86	90
86	110
86	113
87	87
87	88
87	99
87	100
87	101
87	106
88	86
88	87
88	88
88	91
88	96
88	106
88	117
89	63
89	73
89	89
89	91
89	97
89	100
89	107
90	84
90	86
90	90
90	93
90	135
91	77
91	84
91	85
91	88
91	89
91	91
91	109
92	57
92	83
92	92
92	96
92	97
93	58
93	72
93	90
93	93
93	98
93	106
94	19
94	33
94	94
94	112
95	17
95	66
95	95
95	99
95	108
95	111
96	57
96	75
96	88
96	92
96	96
96	98
96	105
97	36
97	56
97	89
97	92
97	97
97	99
98	60
98	75
98	93
98	96
98	98
99	73
99	87
99	95
99	97
99	99
99	108
100	36
100	58
100	87
100	89
100	100
100	101
100	107
101	25
101	60
101	87
101	100
101	101
101	103
101	105
102	31
102	34
102	46
102	102
102	103
102	105
103	54
103	60
103	101
103	102
103	103
103	104
104	62
104	67
104	68
104	103
104	104
105	65
105	96
105	101
105	102
105	105
105	108
106	62
106	87
106	88
106	93
106	106
106	109
107	69
107	89
107	100
107	107
107	109
107	110
108	61
108	95
108	99
108	105
108	108
109	83
109	91
109	106
109	107
109	109
109	110
110	86
110	107
110	109
110	110
111	65
111	95
111	111
111	113
112	49
112	94
112	112
113	78
113	86
113	111
113	113
113	114
113	116
114	85
114	113
114	114
114	115
114	116
114	136
115	114
115	115
115	116
115	130
115	136
115	140
116	113
116	114
116	115
116	116
116	136
116	141
117	75
117	88
117	117
117	222
117	227
118	118
118	119
119	118
119	119
119	137
120	120
120	121
120	122
120	123
120	124
121	120
121	121
121	122
121	123
121	124
122	120
122	121
122	122
122	123
122	124
123	120
123	121
123	122
123	123
123	124
124	120
124	121
124	122
124	123
124	124
125	125
125	126
125	127
125	129
126	125
126	126
126	127
126	128
126	129
127	125
127	126
127	127
127	129
128	126
128	128
128	187
128	188
129	125
129	126
129	127
129	129
129	140
130	115
130	130
130	131
130	136
130	137
130	140
131	130
131	131
131	134
131	139
131	142
131	143
132	132
132	133
132	143
133	132
133	133
133	138
133	141
133	142
133	143
134	68
134	131
134	134
134	138
134	139
134	141
134	192
135	90
135	135
135	138
135	141
135	143
136	114
136	115
136	116
136	130
136	136
136	140
137	119
137	130
137	137
137	140
137	187
138	133
138	134
138	135
138	138
138	139
138	141
138	192
139	131
139	134
139	138
139	139
139	142
140	115
140	129
140	130
140	136
140	137
140	140
141	116
141	133
141	134
141	135
141	138
141	141
141	142
142	131
142	133
142	139
142	141
142	142
142	143
143	131
143	132
143	133
143	135
143	142
143	143
144	144
144	145
144	146
144	171
144	205
144	225
145	144
145	145
145	146
145	149
145	172
145	219
146	144
146	145
146	146
146	149
146	150
146	186
146	206
147	147
147	150
147	166
147	167
147	171
147	172
147	182
148	148
148	150
148	165
148	168
148	173
148	178
149	145
149	146
149	149
149	164
149	219
150	146
150	147
150	148
150	150
150	178
150	195
151	151
151	152
151	160
151	201
151	218
152	151
152	152
152	158
152	170
152	173
152	181
152	210
153	153
153	159
153	173
153	203
153	205
154	154
154	156
154	159
154	173
154	199
154	234
155	155
155	159
155	177
155	181
155	213
156	154
156	156
156	158
157	157
157	160
157	183
157	184
157	203
157	208
158	152
158	156
158	158
158	181
158	224
159	153
159	154
159	155
159	159
159	180
159	202
159	210
159	212
160	151
160	157
160	160
161	161
161	162
161	200
161	217
161	221
162	161
162	162
162	168
162	176
162	180
163	163
163	165
163	224
163	228
163	229
164	149
164	164
164	178
164	185
164	211
164	213
165	148
165	163
165	165
165	168
165	172
165	218
166	147
166	166
166	168
166	169
166	176
166	179
166	196
166	207
166	209
167	37
167	147
167	167
167	168
167	184
167	185
167	199
167	213
167	214
168	148
168	162
168	165
168	166
168	167
168	168
168	171
168	185
169	166
169	169
169	170
169	171
169	173
169	174
169	175
169	177
170	152
170	169
170	170
170	173
170	198
171	144
171	147
171	168
171	169
171	171
171	172
171	182
172	145
172	147
172	165
172	171
172	172
172	183
172	206
173	148
173	152
173	153
173	154
173	169
173	170
173	173
174	169
174	174
174	182
174	201
174	209
174	215
174	219
175	6
175	169
175	175
175	207
176	29
176	39
176	162
176	166
176	176
176	177
177	2
177	155
177	169
177	176
177	177
177	180
178	148
178	150
178	164
178	178
178	179
178	182
179	166
179	178
179	179
179	185
179	223
180	3
180	159
180	162
180	177
180	180
180	184
180	185
181	3
181	152
181	155
181	158
181	181
181	184
182	147
182	171
182	174
182	178
182	182
182	185
183	157
183	172
183	183
183	184
183	208
184	157
184	167
184	180
184	181
184	183
184	184
185	164
185	167
185	168
185	179
185	180
185	182
185	185
186	146
186	186
186	187
186	188
186	219
186	227
187	128
187	137
187	186
187	187
187	188
187	230
188	128
188	186
188	187
188	188
188	219
189	189
189	190
189	193
189	194
189	238
190	189
190	190
190	221
190	222
190	224
190	230
191	191
191	192
191	226
191	227
191	231
192	134
192	138
192	191
192	192
192	212
192	227
193	189
193	193
193	208
193	223
194	189
194	194
194	224
194	229
194	233
195	150
195	195
195	215
195	223
196	166
196	196
196	228
196	238
197	197
197	231
197	236
198	170
198	198
198	212
199	154
199	167
199	199
199	201
199	215
200	161
200	200
200	201
200	202
200	208
200	211
200	229
200	235
201	151
201	174
201	199
201	200
201	201
201	213
201	234
202	159
202	200
202	202
202	208
202	236
202	240
203	153
203	157
203	203
203	210
203	236
204	204
204	210
204	233
204	239
205	144
205	153
205	205
206	146
206	172
206	206
206	207
206	216
206	218
207	166
207	175
207	206
207	207
207	214
208	157
208	183
208	193
208	200
208	202
208	208
208	225
208	232
209	166
209	174
209	209
209	210
209	211
209	217
210	152
210	159
210	203
210	204
210	209
210	210
210	234
211	164
211	200
211	209
211	211
211	212
211	231
211	234
212	159
212	192
212	198
212	211
212	212
212	237
213	155
213	164
213	167
213	201
213	213
214	167
214	207
214	214
214	220
215	174
215	195
215	199
215	215
215	232
216	206
216	216
216	220
216	222
216	226
216	229
217	161
217	209
217	217
217	225
218	151
218	165
218	206
218	218
218	227
219	145
219	149
219	174
219	186
219	188
219	219
220	214
220	216
220	220
220	224
221	161
221	190
221	221
221	222
222	117
222	190
222	216
222	221
222	222
222	232
223	179
223	193
223	195
223	223
223	226
223	228
223	238
223	239
224	158
224	163
224	190
224	194
224	220
224	224
224	229
224	238
224	239
225	144
225	208
225	217
225	225
225	232
225	233
225	237
226	191
226	216
226	223
226	226
226	240
227	117
227	186
227	191
227	192
227	218
227	227
227	235
228	163
228	196
228	223
228	228
228	237
229	163
229	194
229	200
229	216
229	224
229	229
229	231
230	187
230	190
230	230
231	191
231	197
231	211
231	229
231	231
232	208
232	215
232	222
232	225
232	232
232	233
233	194
233	204
233	225
233	232
233	233
233	236
233	237
233	239
234	154
234	201
234	210
234	211
234	234
234	237
235	200
235	227
235	235
235	239
236	197
236	202
236	203
236	233
236	236
237	212
237	225
237	228
237	233
237	234
237	237
238	189
238	196
238	223
238	224
238	238
238	239
239	204
239	223
239	224
239	233
239	235
239	238
239	239
239	240
240	202
240	226
240	239
240	240
