TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	PC_0	PC_1	PC3_0	PC3_1	PC3_2	Representative	Eliminated
"GO:0007059"	"chromosome segregation"	-19.2781893847875	5.10008781701736	0.436008739357967	0.99212143584199	0	2.22727268804988	-7.71426668609575	-0.54698508729442	-0.535546311413153	7.64471713740927	null	False
"GO:0043434"	"response to peptide hormone"	-3.90175441571326	4.18591028504071	0.0531242491421327	0.941982789885732	0	5.21192428131586	5.09157168898937	2.54722904405027	5.72204963071731	-2.14389480147019	null	False
"GO:0032869"	"cellular response to insulin stimulus"	-2.31742860339148	3.89431606268444	0.0271438527587784	0.934935724385068	0.93878042	null	null	null	null	null	43434	True
"GO:0032868"	"response to insulin"	-3.31481200393923	3.9701143222851	0.0323205410958589	0.943426011175726	0.94929984	null	null	null	null	null	43434	True
"GO:0008286"	"insulin receptor signaling pathway"	-2.05230043990169	3.70346334188329	0.0174899349769856	0.808041818637055	0.95292524	null	null	null	null	null	43434	True
"GO:0071375"	"cellular response to peptide hormone stimulus"	-2.23949843091145	4.11557723112852	0.045180889245636	0.933201127816273	0.97016172	null	null	null	null	null	43434	True
"GO:1901653"	"cellular response to peptide"	-3.11890078161098	4.16893921383598	0.0510882004851405	0.932941037968702	0.97804634	null	null	null	null	null	43434	True
"GO:1901987"	"regulation of cell cycle phase transition"	-10.966576244513	4.75853342223729	0.198580534744634	0.743286598920613	0	4.41184528315516	-1.95512272738028	4.85921507570179	-1.87919044514776	2.76915422123451	null	False
"GO:0051988"	"regulation of attachment of spindle microtubules to kinetochore"	-4.05207638016827	3.3155505344219	0.00715733430952863	0.788073477386585	0.71704636	null	null	null	null	null	1901987	True
"GO:0045787"	"positive regulation of cell cycle"	-5.11633856484638	4.37502312898789	0.0821137038297833	0.713970956876636	0.77339572	null	null	null	null	null	1901987	True
"GO:0000079"	"regulation of cyclin-dependent protein serine/threonine kinase activity"	-2.71409561915009	4.40414924920969	0.0878097923344638	0.738685261241239	0.77730765	null	null	null	null	null	1901987	True
"GO:1902806"	"regulation of cell cycle G1/S phase transition"	-4.38090666937326	3.88366143515362	0.0264859458798184	0.766583489967526	0.78194024	null	null	null	null	null	1901987	True
"GO:0050730"	"regulation of peptidyl-tyrosine phosphorylation"	-1.72129136228233	4.06762871672825	0.0404578103882596	0.835822158137235	0.78956352	null	null	null	null	null	1901987	True
"GO:0031577"	"spindle checkpoint signaling"	-7.08039897621589	3.95932764597217	0.0315275901733228	0.679100197918916	0.79147917	null	null	null	null	null	1901987	True
"GO:0010389"	"regulation of G2/M transition of mitotic cell cycle"	-4.05207638016827	4.02991110491244	0.0370920973022113	0.758830157949525	0.80058939	null	null	null	null	null	1901987	True
"GO:0032465"	"regulation of cytokinesis"	-3.24433091150448	4.08603933126804	0.0422099202869637	0.763984595372432	0.80798485	null	null	null	null	null	1901987	True
"GO:0051348"	"negative regulation of transferase activity"	-1.47814307394888	4.24385623280651	0.0607074915890934	0.853680008065478	0.81067935	null	null	null	null	null	1901987	True
"GO:1902749"	"regulation of cell cycle G2/M phase transition"	-4.01188715973165	4.13222766073337	0.0469468498154762	0.758815956023023	0.81417383	null	null	null	null	null	1901987	True
"GO:2000045"	"regulation of G1/S transition of mitotic cell cycle"	-3.95667309582069	3.83391171507138	0.0236188569546661	0.761939517134176	0.81532482	null	null	null	null	null	1901987	True
"GO:0001933"	"negative regulation of protein phosphorylation"	-1.54093960302249	4.2997687119198	0.0690490582807501	0.750836734369587	0.819046	null	null	null	null	null	1901987	True
"GO:0090068"	"positive regulation of cell cycle process"	-5.33818731446274	4.21133416373255	0.056327216842333	0.708791351084483	0.82499673	null	null	null	null	null	1901987	True
"GO:0010965"	"regulation of mitotic sister chromatid separation"	-9.92445303860747	4.24762962067911	0.0612372797600454	0.749341019848535	0.83005931	null	null	null	null	null	1901987	True
"GO:0044773"	"mitotic DNA damage checkpoint signaling"	-1.78800560635891	3.90982336965091	0.0281307130772185	0.594852926422086	0.8341985	null	null	null	null	null	1901987	True
"GO:0006977"	"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest"	-1.90667551661678	2.55630250076729	0.00124309773445611	0.649428064061759	0.83824151	null	null	null	null	null	1901987	True
"GO:1904029"	"regulation of cyclin-dependent protein kinase activity"	-2.57868915627114	4.40698276490096	0.0883845951866079	0.739082000286109	0.87620307	null	null	null	null	null	1901987	True
"GO:1901990"	"regulation of mitotic cell cycle phase transition"	-11.1348960253589	4.57974930885686	0.131567525120876	0.741256453442629	0.87944031	null	null	null	null	null	1901987	True
"GO:1901992"	"positive regulation of mitotic cell cycle phase transition"	-2.13230511216042	3.71575271682286	0.0179920218056656	0.71861515773404	0.88160187	null	null	null	null	null	1901987	True
"GO:0071902"	"positive regulation of protein serine/threonine kinase activity"	-2.45458154024888	4.11945385075606	0.045586021376364	0.771032057644792	0.88827659	null	null	null	null	null	1901987	True
"GO:0007088"	"regulation of mitotic nuclear division"	-9.19791074211827	4.18588197840998	0.0531207864743487	0.69232106228355	0.89077776	null	null	null	null	null	1901987	True
"GO:0051781"	"positive regulation of cell division"	-1.81675923366212	4.15585202495927	0.0495715519957484	0.794949571184892	0.89078706	null	null	null	null	null	1901987	True
"GO:0045931"	"positive regulation of mitotic cell cycle"	-3.14037242102096	3.82503644122135	0.0231410088004741	0.723215559403499	0.89559788	null	null	null	null	null	1901987	True
"GO:0045737"	"positive regulation of cyclin-dependent protein serine/threonine kinase activity"	-1.30326780770981	3.7279477095448	0.0185044966376976	0.712313256174524	0.89876085	null	null	null	null	null	1901987	True
"GO:0044774"	"mitotic DNA integrity checkpoint signaling"	-1.78800560635891	3.97492598608976	0.0326806585453949	0.594475236895445	0.90300112	null	null	null	null	null	1901987	True
"GO:1901989"	"positive regulation of cell cycle phase transition"	-2.57868915627114	3.92880537089328	0.0293876614828106	0.713668679664148	0.90930471	null	null	null	null	null	1901987	True
"GO:0042326"	"negative regulation of phosphorylation"	-1.30744123775009	4.33645973384853	0.0751364282450227	0.750566813696149	0.91698124	null	null	null	null	null	1901987	True
"GO:0045930"	"negative regulation of mitotic cell cycle"	-6.59859945921846	4.4175215138043	0.090555687887176	0.6954520811705	0.92561098	null	null	null	null	null	1901987	True
"GO:0000075"	"cell cycle checkpoint signaling"	-7.24949160514865	4.51582087774029	0.11355818997629	0.655376598363974	0.92580416	null	null	null	null	null	1901987	True
"GO:0033046"	"negative regulation of sister chromatid segregation"	-8.68402965454308	3.96094619573383	0.0316453208779788	0.643292737381288	0.94173687	null	null	null	null	null	1901987	True
"GO:1902100"	"negative regulation of metaphase/anaphase transition of cell cycle"	-7.67778070526608	3.9645895874899	0.0319119462973468	0.646721961299513	0.94224834	null	null	null	null	null	1901987	True
"GO:0051985"	"negative regulation of chromosome segregation"	-8.55752023093555	3.96740755659747	0.0321197063643869	0.752204116407419	0.94264432	null	null	null	null	null	1901987	True
"GO:0007093"	"mitotic cell cycle checkpoint signaling"	-7.16685288808721	4.28151060149266	0.0662062080300859	0.579424290750354	0.94392956	null	null	null	null	null	1901987	True
"GO:0000077"	"DNA damage checkpoint signaling"	-1.78800560635891	4.29227822867297	0.067868288566406	0.661779253567369	0.94559228	null	null	null	null	null	1901987	True
"GO:0045839"	"negative regulation of mitotic nuclear division"	-6.75448733218585	3.99655544963337	0.034349664417283	0.64965433668392	0.94753269	null	null	null	null	null	1901987	True
"GO:0010948"	"negative regulation of cell cycle process"	-6.39902710431325	4.62538448435654	0.146145356491517	0.685681782257918	0.94849155	null	null	null	null	null	1901987	True
