	Tuft.1	Tuft.2	Tuft.3	Tuft.4	anno	umicount	mean_count
VRTN	-0.076	-0.068	0.23	0.065	Core	103	0.0266722107671688
HMGB1P1	0.261	0.155	-0.174	-0.361	Core	113	0.0292700132093666
IL19	0	0.297	-0.28	0	Core	124	0.0309160343120791
HOXA2	0.084	0.276	-0.148	-0.089	Core	141	0.0388915399806749
PLEKHG7	0.003	0.53	-0.141	-0.003	Core	145	0.0473356797884684
FES	0.012	0.34	-0.298	-0.012	Core	147	0.0410903210686164
LRRN2	-0.227	0.641	0.196	-0.488	Core	162	0.0448411553828083
AC007494.2	0.207	0.05	-0.052	-0.066	Core	168	0.0465622503261693
TMEM74B	0.183	0.025	-0.394	-0.026	Core	168	0.0462181849505339
TMEM131L	0.127	-0.139	0.289	-0.385	Core	193	0.0522091042727456
APOBEC1	0.011	-0.011	-0.444	0.168	Core	218	0.0630154755512183
AP005233.2	-0.033	0.032	-0.219	0.33	Core	224	0.056640525880124
APH1B	0.442	0.202	-0.235	-0.265	Core	230	0.0649665314226087
CMTM3	0.341	-0.182	0.083	-0.088	Core	232	0.0612937791771997
HOTAIRM1	0.313	0.596	-0.664	-0.4	Core	238	0.0698177026432494
HOXC9	0.252	-0.305	0.664	-0.509	Core	241	0.0664447996891637
NXPH4	0.45	0.627	-0.657	-1.227	Core	243	0.0748927277761008
MARC1	0.379	0.222	-0.303	-0.262	Core	245	0.0693463204689834
CTXND1	0.107	-0.017	-0.121	0.017	Core	253	0.0699904017000135
DEPDC1B	-0.063	0.638	-0.099	0.06	Core	258	0.0705354303836161
FAM217B	0.018	-0.232	-0.018	0.022	Core	264	0.0696153945658119
PAQR5	0.192	0.329	-0.321	-0.222	Core	269	0.0837367914512411
PRAME	0.146	-0.154	-0.716	0.139	Core	271	0.070740112499252
HAP1	-0.064	0.345	-0.31	0.062	Core	272	0.0749182116159656
EPG5	-0.019	0.559	0.018	-0.149	Core	274	0.0786540063739859
RUNX2	-0.222	0.192	-0.539	0.218	Core	275	0.0748730057839638
RNF14	0.024	0.302	-0.039	-0.025	Core	280	0.078171737927736
TRPM5	0.145	0.233	-0.178	-0.161	Core	283	0.0844474485464127
ZNF280B	-0.205	-0.071	0.067	0.55	Core	284	0.0737052401923528
RASGRF2	-0.05	-0.324	0.295	0.048	Core	289	0.0749515472776834
TREH	0.053	0.489	-0.487	-0.055	Core	290	0.083208426432684
ABCB9	-0.243	0.185	0.247	-0.213	Core	293	0.0750244920640187
TMEM255B	0.036	0.045	-0.037	-0.588	Core	293	0.0870895155327103
MYLK	0.348	0.566	-0.558	-0.46	Core	295	0.0824963547207984
ESPN	0.058	-0.06	-0.129	0.302	Core	296	0.079635260589772
SLCO3A1	0.161	0.236	-0.482	-0.181	Core	297	0.0900167978929879
MYZAP	-0.109	0.196	0.046	-0.048	Core	298	0.0792526857788667
ARHGAP4	0.262	0.074	-0.286	-0.078	Core	308	0.0869348482272551
LINC00920	-0.373	0.537	-0.676	0.296	Core	311	0.0822570224309789
ESPL1	-0.116	0.998	-0.062	0.059	Core	313	0.0809666322771186
C5AR1	0.278	0.16	-0.46	-0.18	Core	318	0.0865051281162145
GNB3	-0.103	0.854	-0.117	0.096	Core	337	0.087561831001572
ANKRD40	-0.059	0.151	0.043	-0.044	Core	340	0.0967758175391502
ALOX12B	0.186	0.896	-1.053	-0.213	Core	341	0.0954151386066333
KDM4A	-0.114	0.181	0.096	-0.102	Core	341	0.0937274555932245
LINC01548	-0.752	0.019	0.019	-0.019	Core	350	0.0937387851567427
PTPN6	-0.174	-0.042	0.041	0.337	Core	353	0.0891543145111421
CEACAM19	0.12	-0.387	-0.131	0.458	Core	366	0.101394320894018
CBX6	0.23	0.013	-0.125	-0.013	Core	367	0.100064459187473
SOX13	-0.318	0.024	0.024	-0.024	Core	372	0.108766593782254
PIR	-0.265	-0.04	0.352	0.039	Core	376	0.10249666034361
MATK	0.291	0.407	-0.99	-0.365	Core	381	0.120143176023946
HK2	-0.085	0.66	0.06	-0.063	Core	382	0.107381935600878
SEC14L1	-0.037	0.156	-0.073	0.036	Core	393	0.102055730635736
TUBG2	-0.28	-0.404	0.419	0.235	Core	404	0.108606359848822
TMEM170A	0.068	0.456	-0.072	-0.146	Core	405	0.116845666089997
DIPK1C	-1.275	-0.163	0.147	0.756	Core	406	0.113750718052739
PRKAR2B	0.621	0.359	-0.822	-0.479	Core	408	0.117949011693742
GNAI1	-0.209	0.298	-0.026	0.026	Core	426	0.11487704307688
NRTN	0.27	-0.567	0.183	-0.209	Core	426	0.122554809107155
NCAM1	-0.328	-0.733	0.267	0.542	Core	430	0.112518503196517
ATP2B4	-0.277	0.232	-0.333	0.515	Core	435	0.121070011435565
MOB1B	-0.176	0.049	-0.051	0.333	Core	440	0.108417635412496
CCSER1	0.315	0.03	-0.186	-0.03	Core	441	0.119080436787757
MTA3	0.086	0.442	-0.106	-0.091	Core	447	0.120660592647118
CLIC5	0.035	0.279	-1.097	-0.036	Core	449	0.119065466210349
NIN	-0.357	0.093	-0.099	0.133	Core	454	0.115695604135168
TMEM198	-0.784	0.194	-0.225	0.381	Core	457	0.126000248598689
PTPRE	0.014	-0.19	-0.014	0.196	Core	460	0.127232129779293
UNC5B	-0.768	0.158	-0.177	0.377	Core	463	0.11895735403402
CRYM	-0.135	-0.312	0.124	0.147	Core	466	0.127045981249795
GFI1B	-0.658	-0.04	0.039	0.123	Core	470	0.118799814710893
VAV1	-0.457	0.033	-0.032	0.031	Core	472	0.119968928721003
PEAK1	0.006	0.001	-0.001	-0.148	Core	477	0.121270046031576
TLCD2	-0.547	-0.287	0.239	0.768	Core	483	0.12441619456233
CACYBP	-0.343	0.187	0.235	-0.215	Core	492	0.129773834336801
GNAT3	-0.061	0.058	-1.092	0.059	Core	493	0.129297049486382
CD14	0.017	-0.018	-0.078	0.323	Core	497	0.127666857530803
BCAM	-0.327	0.476	-0.962	0.267	Core	509	0.150168620801408
TET2	0.394	0.142	-0.157	-0.258	Core	512	0.149219117537478
ANKS4B	-0.114	0.433	0.106	-0.53	Core	513	0.143101448381676
IL27RA	-0.135	0.493	-0.39	0.124	Core	513	0.143528666451499
KLHDC7A	-0.355	-0.148	0.134	0.323	Core	526	0.139493684036007
VWA1	-0.389	-0.055	0.053	0.39	Core	549	0.137862034983999
